symbol,start,end
GVKPIL,2009-02-25,2019-03-29
GVPIL,2002-03-29,2022-05-04
GVT&D,1999-02-03,2002-09-19
GVT&D,2009-03-27,2011-12-14
GVT&D,2012-04-27,2022-05-04
GVT&D,2026-05-30,
HAL,2018-09-28,
HAPPSTMNDS,2022-05-04,2026-05-30
HARRMALAYA,1998-08-01,2010-08-31
HATHWAY,2011-01-20,2019-12-27
HATHWAY,2020-06-26,2022-10-09
HATSUN,2018-02-05,2023-04-04
HAVELLS,2002-04-23,
HBLENGINE,1998-08-01,2004-12-10
HBLENGINE,2026-05-30,
HCC,1998-08-01,2019-03-29
HCL-INSYS,1998-08-01,2019-03-29
HCLTECH,2001-04-25,
HDBFS,2026-05-30,
HDFCAMC,2019-03-29,
HDFCBANK,1998-08-01,
HDFCLIFE,2018-09-28,
HDIL,2008-04-23,2018-09-28
HEIDELBERG,1998-08-01,2004-12-10
HEIDELBERG,2016-04-01,2022-05-04
HEMIPROP,2022-05-04,2022-10-09
HERITGFOOD,2002-09-19,2011-10-10
HERITGFOOD,2013-04-01,2016-04-01
HERITGFOOD,2017-09-29,2022-05-04
HEROMOTOCO,1998-08-01,
HEXT,2003-04-01,2020-07-24
HEXT,2026-05-30,
HGS,2022-05-04,2024-02-26
HIKAL,2003-04-01,2011-10-10
HIKAL,2022-05-04,2024-02-26
HIMATSEIDE,1998-08-01,2022-05-04
HINDALCO,1998-08-01,
HINDCOPPER,2013-04-01,
HINDOILEXP,1998-08-01,2015-09-28
HINDPETRO,1998-08-01,
HINDUNILVR,1998-08-01,
HINDZINC,1998-08-01,2003-04-01
HINDZINC,2007-03-15,
HINVDIR,2006-03-02,2010-07-08
HLEGLAS,2022-05-04,2026-05-30
HLVLTD,1998-08-01,2015-09-28
HLVLTD,2016-04-01,2016-09-30
HMT,2002-10-11,2011-03-25
HMT,2016-04-01,2016-09-30
HMVL,2016-04-01,2017-09-29
HOMEFIRST,2022-05-04,
HONASA,2026-05-30,
HONAUT,1998-08-01,2017-09-29
HONAUT,2018-04-02,
HONDAPOWER,1998-08-01,2009-10-22
HSCL,2018-04-02,2022-05-04
HSCL,2026-05-30,
HTMEDIA,2006-03-02,2018-06-29
HUBTOWN,2008-01-01,2015-03-27
HUDCO,2017-10-30,
HYUNDAI,2026-05-30,
IBULLSLTD,2019-03-29,2020-06-26
ICICI,1998-08-01,2002-04-23
ICICIAMC,2026-05-30,
ICICIBANK,1999-02-03,
ICICIGI,2018-04-02,
ICICIPRULI,2017-03-31,
ICIL,2016-04-01,2019-03-29
ICIL,2022-05-04,2022-10-09
ICRA,2012-04-27,2018-04-02
ICRA,2019-03-29,2022-05-04
IDBI,1998-08-01,
IDEA,2007-09-24,
IDFC,2006-02-03,2015-05-29
IDFC,2016-04-01,2026-05-30
IDFCFIRSTB,2016-09-30,
IEX,2018-04-02,
IFBIND,1998-08-01,2000-09-03
IFBIND,2015-03-27,2015-09-28
IFBIND,2016-04-01,2016-09-30
IFBIND,2017-09-29,2024-02-26
