symbol,entry_date,entry_price,exit_date,exit_price,qty,pnl_rs,pnl_pct,hold_days,status
IPCALAB,2019-04-30,464.3868713378906,2019-05-31,457.390625,818.7251091236718,-5728.002546445591,-0.015065555832219246,31,closed
RBLBANK,2019-04-30,658.7591552734375,2019-05-31,667.0077514648438,577.1535603993232,4760.706660166414,0.012521414124381236,31,closed
IBULLSLTD,2019-04-30,223.2988739013672,2019-05-31,210.7296905517578,1702.6740227971527,-21401.221977154386,-0.056288610551440965,31,closed
WIPRO,2019-05-31,131.4748077392578,2019-07-31,121.7886199951172,2903.2037258594337,-28120.976348163003,-0.07367333644138396,61,closed
ICICIGI,2019-05-31,1121.989013671875,2020-02-29,1186.0433349609375,340.19776221881386,21791.13676298399,0.05708997192355314,274,closed
DCMSHRIRAM,2019-05-31,506.5020446777344,2019-08-31,350.0890808105469,753.5964675683081,-117872.25705220191,-0.30881013316877404,92,closed
LTTS,2019-05-31,1603.996826171875,2019-06-30,1592.0042724609375,237.96689959557654,-2853.830824825223,-0.007476669227307053,30,closed
BAJAJFINSV,2019-05-31,815.5364379882812,2019-06-30,849.0723876953125,468.03322807600995,15695.938797976556,0.04112133823199349,30,closed
DRREDDY,2019-05-31,508.6221008300781,2019-06-30,484.3338012695313,750.4553008261526,-18227.28315326587,-0.047753134440890355,30,closed
VBL,2019-05-31,54.092559814453125,2019-06-30,54.89264678955078,7056.389141030799,5645.7250429592805,0.014791072521657123,30,closed
UPL,2019-05-31,619.3595581054688,2019-09-30,561.6830444335938,616.2787781185219,-35544.81137183935,-0.09312282811667438,122,closed
ADANIPOWER,2019-05-31,10.06999969482422,2019-11-30,12.720000267028809,37904.48493076432,100446.90675564564,0.2631579595346598,183,closed
SRF,2019-06-30,593.865966796875,2019-11-30,626.4127807617188,644.5374188429458,20977.639464461936,0.05480498257947142,153,closed
ATUL,2019-06-30,3856.46142578125,2019-09-30,3887.656494140625,99.25390017362517,3096.2322008508195,0.0080890393848696,92,closed
IPCALAB,2019-06-30,447.44476318359375,2019-07-31,465.9957885742188,855.4549496892249,15869.566492220692,0.04145992291569911,31,closed
ADANIENSOL,2019-06-30,224.1499938964844,2019-07-31,207.3500061035156,1707.6459861725286,-28688.43172241066,-0.0749497579764703,31,closed
GRANULES,2019-06-30,94.01545715332033,2019-07-31,88.28516387939453,4071.3394261723292,-23329.968929664206,-0.06095054417042123,31,closed
VAKRANGEE,2019-06-30,30.617111206054688,2019-07-31,30.93415260314941,12501.794659916639,3963.5864451713187,0.010355039538544997,31,closed
PFC,2019-06-30,67.82241821289062,2019-08-31,52.96416473388672,5643.691974775055,-83855.40591862789,-0.21907584351187115,62,closed
PIIND,2019-07-31,1077.5838623046875,2020-03-31,1150.3359375,330.3009864750932,24030.08220512188,0.06751407267710352,244,closed
ADANIGREEN,2019-07-31,46.79999923706055,2019-08-31,46.400001525878906,7605.278173744574,-3042.0938623975176,-0.008546959779967,31,closed
TITAN,2019-07-31,1032.7943115234375,2019-08-31,1080.4573974609375,344.6252644477333,16425.903595605974,0.04614964025817869,31,closed
TRENT,2019-07-31,395.21197509765625,2019-08-31,466.373046875,900.5977428718609,64087.50062301826,0.18005798473024504,31,closed
RECLTD,2019-07-31,62.8107795715332,2019-10-31,62.6092414855957,5666.654914281478,-1142.0467850926173,-0.0032086544270315542,92,closed
HAVELLS,2019-07-31,616.796142578125,2019-08-31,649.0553588867188,577.057779967871,18615.43174654045,0.05230126144069991,31,closed
BAJAJFINSV,2019-07-31,707.1911010742188,2019-08-31,709.3531494140625,503.2967923213802,1088.1519942871248,0.0030572335208398638,31,closed
EPL,2019-08-31,94.24787139892578,2019-09-30,103.05363464355467,3809.8175926266576,33548.35172589235,0.09343195887529898,30,closed
UBL,2019-08-31,1339.03955078125,2019-09-30,1314.7386474609375,268.1527952731104,-6516.355153003407,-0.018148010121235347,30,closed
