date,symbol,action,source
2002-11-11,CEATFIN,OUT,nse_inclexcl
1998-08-01,CEATLTD,IN,nse_inclexcl
2007-12-26,CEATLTD,OUT,nse_inclexcl
2015-06-15,CEATLTD,IN,nse_inclexcl
1998-08-01,CEMPRO,IN,nse_inclexcl
2004-12-10,CEMPRO,OUT,nse_inclexcl
2015-03-24,CEMPRO,IN,nse_inclexcl
2016-04-01,CEMPRO,OUT,nse_inclexcl
2016-09-30,CEMPRO,IN,nse_inclexcl
2020-06-26,CEMPRO,OUT,nse_inclexcl
2026-05-30,CEMPRO,IN,snapshot_diff
2001-08-31,CENTBOP,IN,nse_inclexcl
2004-01-28,CENTBOP,OUT,nse_inclexcl
1998-08-01,CENTENKA,IN,nse_inclexcl
2016-04-01,CENTENKA,OUT,nse_inclexcl
2011-10-10,CENTRALBK,IN,nse_inclexcl
2009-06-23,CENTURYPLY,IN,nse_inclexcl
2013-07-17,CENTURYPLY,OUT,nse_inclexcl
2014-09-19,CENTURYPLY,IN,nse_inclexcl
2026-05-30,CENTURYPLY,OUT,snapshot_diff
2026-05-30,CENTURYTEX,OUT,snapshot_diff
2016-04-01,CERA,IN,nse_inclexcl
2026-05-30,CERA,OUT,snapshot_diff
1998-08-01,CESC,IN,nse_inclexcl
2018-02-05,CESC,OUT,nse_inclexcl
2019-03-29,CESC,IN,nse_inclexcl
2019-09-27,CGCL,IN,nse_inclexcl
1998-08-01,CGPOWER,IN,nse_inclexcl
2015-09-28,CGPOWER,OUT,nse_inclexcl
2016-09-30,CGPOWER,IN,nse_inclexcl
2019-12-26,CGPOWER,OUT,nse_inclexcl
2022-05-04,CGPOWER,IN,snapshot_diff
2019-06-28,CHALET,IN,nse_inclexcl
2020-06-26,CHALET,OUT,nse_inclexcl
2022-05-04,CHALET,IN,snapshot_diff
1998-08-01,CHAMBLFERT,IN,nse_inclexcl
1998-08-01,CHEMPLASTS,IN,nse_inclexcl
2012-06-18,CHEMPLASTS,OUT,nse_inclexcl
2022-05-04,CHEMPLASTS,IN,snapshot_diff
2026-05-30,CHEMPLASTS,OUT,snapshot_diff
1998-08-01,CHENNPETRO,IN,nse_inclexcl
2022-05-04,CHENNPETRO,OUT,snapshot_diff
2026-05-30,CHENNPETRO,IN,snapshot_diff
1999-02-03,CHETNADCEM,IN,nse_inclexcl
2002-09-19,CHETNADCEM,OUT,nse_inclexcl
2009-03-27,CHETNADCEM,IN,nse_inclexcl
2009-10-22,CHETNADCEM,OUT,nse_inclexcl
2026-05-30,CHOICEIN,IN,snapshot_diff
1999-02-03,CHOLAFIN,IN,nse_inclexcl
2018-02-05,CHOLAHLDNG,IN,nse_inclexcl
2016-04-01,CIEINDIA,IN,nse_inclexcl
2024-02-26,CIEINDIA,IN,snapshot_diff
2001-08-31,CINEVISTA,IN,nse_inclexcl
2007-04-04,CINEVISTA,OUT,nse_inclexcl
1998-08-01,CIPLA,IN,nse_inclexcl
2002-09-19,CLCIND,IN,nse_inclexcl
2017-03-31,CLCIND,OUT,nse_inclexcl
2022-05-04,CLEAN,IN,snapshot_diff
1998-08-01,CLNINDIA,IN,nse_inclexcl
2016-09-30,CLNINDIA,OUT,nse_inclexcl
2011-04-11,COALINDIA,IN,nse_inclexcl
1998-08-01,COCHINREFN,IN,nse_inclexcl
2006-09-22,COCHINREFN,OUT,nse_inclexcl
2018-02-05,COCHINSHIP,IN,nse_inclexcl
2016-09-30,COFFEEDAY,IN,nse_inclexcl
